"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","RH2M","T2M","PRECTOTCORR"
"356",60.59,56.84,2020,12,21,356,2020-12-21,95.38,-16.45,2.83
"357",60.59,56.84,2020,12,22,357,2020-12-22,97.75,-13.36,0.4
"358",60.59,56.84,2020,12,23,358,2020-12-23,98.5,-8.21,0.55
"359",60.59,56.84,2020,12,24,359,2020-12-24,98.44,-11.45,1.05
"360",60.59,56.84,2020,12,25,360,2020-12-25,95.69,-19.74,1.47
"361",60.59,56.84,2020,12,26,361,2020-12-26,98.19,-15.3,0.41
"362",60.59,56.84,2020,12,27,362,2020-12-27,98.56,-10.33,6.27
"363",60.59,56.84,2020,12,28,363,2020-12-28,98.94,-11.77,0.88
"364",60.59,56.84,2020,12,29,364,2020-12-29,99.06,-19.99,0.24
"365",60.59,56.84,2020,12,30,365,2020-12-30,99.25,-23.48,0.25
"366",60.59,56.84,2020,12,31,366,2020-12-31,98.94,-19.99,1.2
"367",60.59,56.84,2021,1,1,1,2021-01-01,98.94,-22.65,1.42
